"district","rps01","rps02","rps03","rps04","rps05","rps06","rps07","rps08","rps09","rps10","rps11","rps12","rps13","rps14","rps15","rps16","rps17","rps18","rps19","rps20","rps21","rps22","rps23","rps24","rps25","rps26","rps27","rps28"
"淡水區","房地(土地+建物)+車位","新北市淡水區新市三路二段２１９號１７樓","7.8","商","","","1100921.0","土地1建物1車位1","十七層","24.0","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造","1070525.0","92.83","2.0","2.0","1.0","有","有","有","16500.0","178.0","坡道平面","0.0","0.0","","RPOTMLMLRHGGFEF78CC"
"淡水區","房地(土地+建物)+車位","新北市淡水區新市三路二段２２９號２０樓","9.61","商","","","1100926.0","土地1建物1車位1","二十層","24.0","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造","1070525.0","122.0","3.0","2.0","2.0","有","有","有","22000.0","180.0","坡道平面","0.0","0.0","","RPTOMLTLRHGGFEF86CC"
"淡水區","房地(土地+建物)+車位","新北市淡水區新市三路二段３４１號４樓","5.02","住","","","1100907.0","土地1建物1車位1","四層","29.0","住宅大樓(11層含以上有電梯)","集合住宅","鋼筋混凝土造","1080822.0","88.21","1.0","1.0","1.0","有","有","有","15500.0","176.0","坡道平面","30.84","0.0","","RPRSMLSLRHGGFEF96CC"
"淡水區","房地(土地+建物)+車位","新北市淡水區新市五路三段 ３２２ 號九樓","7.71","商","","","1100907.0","土地1建物1車位1","九層","27.0","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造","1061229.0","102.05","1.0","2.0","1.0","有","有","有","16500.0","162.0","坡道機械","15.42","0.0","","RPSPMLSLRHGGFEF76CC"
"淡水區","房地(土地+建物)+車位","新北市淡水區新市五路三段１７０號１５樓","8.47","商","","","1100921.0","土地1建物1車位1","十五層","27.0","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造","1061229.0","111.289999999999","2.0","1.0","1.0","有","有","有","16000.0","144.0","坡道機械","15.42","0.0","含管理費、稅金或水電等費用。；","RPVRMLNLRHGGFEF76CC"
"淡水區","房地(土地+建物)+車位","新北市淡水區新市五路三段１８０號１４樓","8.07","商","","","1100925.0","土地1建物1車位1","十四層","27.0","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造","1061229.0","106.23","2.0","1.0","1.0","有","有","有","15000.0","141.0","坡道機械","15.42","0.0","含管理費、稅金或水電等費用。；","RPORMLTLRHGGFEF66CC"
"淡水區","房地(土地+建物)+車位","新北市淡水區新市五路三段４２２號１３樓","5.03","住","","","1100917.0","土地1建物1車位1","十三層","29.0","住宅大樓(11層含以上有電梯)","集合住宅","鋼筋混凝土造","1080822.0","88.5399999999999","1.0","1.0","1.0","有","有","有","15500.0","175.0","坡道平面","30.84","0.0","","RPQSMLSLRHGGFEF86CC"
"淡水區","房地(土地+建物)+車位","新北市淡水區新市五路三段４２８號８樓","5.03","住","","","1100702.0","土地1建物1車位1","八層","29.0","住宅大樓(11層含以上有電梯)","集合住宅","鋼筋混凝土造","1080822.0","88.5399999999999","1.0","0.0","1.0","有","有","有","15500.0","175.0","坡道平面","30.84","0.0","","RPQSMLMLRHGGFEF88CC"
"淡水區","房地(土地+建物)+車位","新北市淡水區新民街３２２巷４弄２號四樓","16.09","住","","","1100914.0","土地1建物1車位1","四層","6.0","華廈(10層含以下有電梯)","住家用","鋼筋混凝土造","890525.0","82.96","2.0","2.0","1.0","有","有","有","16500.0","199.0","升降機械","0.0","0.0","","RPUPMLOLRHGGFEF56CC"
"淡水區","房地(土地+建物)+車位","新北市淡水區濱海路一段１４８巷１２１號５樓","28.53","住","","","1100921.0","土地1建物1車位1","五層","10.0","華廈(10層含以下有電梯)","住家用","鋼筋混凝土造","1030613.0","106.87","3.0","3.0","3.0","有","有","有","17000.0","159.0","坡道平面","29.24","0.0","","RPURMLOLRHGGFEF76CC"
"淡水區","房地(土地+建物)+車位","新北市淡水區濱海路一段３９８號７樓","15.38","住","","","1100901.0","土地1建物1車位1","七層","12.0","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造","1010827.0","117.64","3.0","2.0","2.0","有","有","無","18000.0","153.0","坡道平面","34.31","0.0","","RPOPMLNLRHGGFEF48CC"
"淡水區","建物","新北市淡水區大義街２９巷５０號三樓","0.0","住","","","1100917.0","土地0建物1車位0","三層","7.0","華廈(10層含以下有電梯)","住家用","鋼筋混凝土造","860607.0","171.78","4.0","2.0","2.0","有","有","有","16000.0","93.0","","0.0","0.0","此為新北市社會住宅包租代管計畫之物件，評定市價租金為17778，因為新北市計畫租金上限為31500，選擇代租方案須打九折，實際租賃契約金額為16000。","RPVNMLOLRHGGFEF09CC"
"淡水區","建物","新北市淡水區中正路一段２２巷１２號三樓","0.0","住","","","1100916.0","土地0建物1車位0","三層","4.0","公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造","670502.0","105.9","3.0","2.0","1.0","有","無","有","12000.0","113.0","","0.0","0.0","此為新北市社會住宅包租代管計畫之物件，評定市價租金為13333，因為新北市計畫租金上限為31500，選擇代租方案須打九折，實際租賃契約金額為12000。","RPWQMLMLRHGGFEF66CC"
"淡水區","建物","新北市淡水區中正路一段５５號四樓","0.0","","特定農業區","甲種建築用地","1100910.0","土地0建物1車位0","四層","5.0","公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造","701109.0","116.19","2.0","2.0","1.0","有","無","有","10000.0","86.0","","0.0","0.0","此為新北市社會住宅包租代管計畫之物件，評定市價租金為11111，因為新北市計畫租金上限為31500，選擇代租方案須打九折，實際租賃契約金額為10000。","RPSTMLOLRHGGFEF76CC"
